db_station_name;rki_landkreisname;rki_bezeichner;db_station_id;rki_ags
Walldorf(Hess);Groß-Gerau;Landkreis;8006175;06433
Wallersdorf;Dingolfing-Landau;Landkreis;8006181;09279
Wallertheim;Alzey-Worms;Landkreis;8006183;07331
Hebertshausen;Dachau;Landkreis;8006189;09174
Walpertskirchen;Erding;Landkreis;8006190;09177
Walporzheim;Ahrweiler;Landkreis;8006191;07131
Wannweil;Reutlingen;Landkreis;8006203;08415
Warthausen;Biberach;Landkreis;8006212;08426
Wasserburg(Bodensee);Lindau (Bodensee);Landkreis;8006218;09776
Wasserburg(Günz);Günzburg;Landkreis;8006219;09774
Wattenscheid-Höntrop;Bochum;Kreisfreie Stadt;8006227;05911
Weddel(Braunschw);Wolfenbüttel;Landkreis;8006233;03158
Wedel(Holst);Pinneberg;Kreis;8006236;01056
Weidenbach;Mühldorf a. Inn;Landkreis;8006258;09183
Weiding;Cham;Landkreis;8006264;09372
Weiherhammer;Neustadt a.d. Waldnaab;Landkreis;8006266;09374
Weil der Stadt;Böblingen;Landkreis;8006271;08115
Weilbach(Unterallg);Unterallgäu;Landkreis;8006279;09778
Weißenburg(Bay);Weißenburg-Gunzenhausen;Landkreis;8006298;09577
Weißenohe;Forchheim;Landkreis;8006300;09474
Welgesheim-Zotzenheim;Mainz-Bingen;Landkreis;8006312;07339
Werdorf;Lahn-Dill-Kreis;Landkreis;8006340;06532
Weßling(Oberbay);Starnberg;Landkreis;8006359;09188
Westerstetten;Alb-Donau-Kreis;Landkreis;8006373;08425
Westhausen;Ostalbkreis;Landkreis;8006376;08136
Westheim(Schwab);Augsburg;Landkreis;8006378;09772
Wickede(Ruhr);Soest;Kreis;8006389;05974
Wickrath;Mönchengladbach;Kreisfreie Stadt;8006391;05116
Wieren;Uelzen;Landkreis;8006402;03360
Wiesbaden Ost;Wiesbaden;Kreisfreie Stadt;8006404;06414
Wiesental;Karlsruhe;Landkreis;8006417;08215
Wiesthal;Main-Spessart;Landkreis;8006426;09677
Wildberg(Württ);Calw;Landkreis;8006432;08235
Wincheringen;Trier-Saarburg;Landkreis;8006463;07235
Windsbach;Ansbach;Landkreis;8006473;09571
Winkelhaid;Nürnberger Land;Landkreis;8006476;09574
Winningen(Mosel);Mayen-Koblenz;Landkreis;8006481;07137
Winterbach(b Schorndorf);Rems-Murr-Kreis;Landkreis;8006485;08119
Winterberg(Westf);Hochsauerlandkreis;Kreis;8006486;05958
Winterhausen;Würzburg;Landkreis;8006488;09679
Wissen(Sieg);Altenkirchen (Westerwald);Landkreis;8006501;07132
Witten-Annen Nord;Ennepe-Ruhr-Kreis;Kreis;8006510;05954
Mannheim-Neckarstadt;Mannheim;Stadtkreis;8006511;08222
Essen-Holthausen;Essen;Kreisfreie Stadt;8006514;05113
Alfter-Witterschlick;Rhein-Sieg-Kreis;Kreis;8006516;05382
Witzenhausen Nord;Werra-Meißner-Kreis;Landkreis;8006524;06636
Witzwort;Nordfriesland;Kreis;8006527;01054
Darmstadt-Wixhausen;Darmstadt;Kreisfreie Stadt;8006528;06411
Wörnitzstein;Donau-Ries;Landkreis;8006533;09779
Wörsdorf;Rheingau-Taunus-Kreis;Landkreis;8006535;06439
Wörth(Isar);Landshut;Landkreis;8006537;09274
Wohltorf;Herzogtum Lauenburg;Kreis;8006541;01053
Wolfgang(Kr Hanau);Main-Kinzig-Kreis;Landkreis;8006548;06435
Wolfratshausen;Bad Tölz-Wolfratshausen;Landkreis;8006550;09173
Wolfstein;Kusel;Landkreis;8006555;07336
Wrist;Steinburg;Kreis;8006572;01061
Wülfrath-Aprath;Mettmann;Kreis;8006575;05158
Würzbach(Saar);Saarpfalz-Kreis;Landkreis;8006581;10045
Würzburg-Zell;Würzburg;Kreisfreie Stadt;8006586;09663
Wustweiler;Neunkirchen;Landkreis;8006627;10043
Zapfendorf;Bamberg;Landkreis;8006634;09471
Zeil;Haßberge;Landkreis;8006635;09674
Zell(Wiesental);Lörrach;Landkreis;8006641;08336
Esslingen-Zell;Esslingen;Landkreis;8006642;08116
Zieverich;Rhein-Erft-Kreis;Kreis;8006659;05362
Zimmern(Main-Tauber);Main-Tauber-Kreis;Landkreis;8006662;08128
Zimmersrode;Schwalm-Eder-Kreis;Landkreis;8006663;06634
Zollhaus(Villingen-Schwenningen);Schwarzwald-Baar-Kreis;Landkreis;8006667;08326
Zollhaus-Petersthal;Oberallgäu;Landkreis;8006670;09780
Zorneding;Ebersberg;Landkreis;8006671;09175
Euskirchen Zuckerfabrik;Euskirchen;Kreis;8006673;05366
Züttlingen;Heilbronn;Landkreis;8006676;08125
Zweibrücken Hbf;Zweibrücken;Kreisfreie Stadt;8006680;07320
Zwingenberg(Bergstr);Bergstraße;Landkreis;8006687;06431
Unterschleißheim;München;Landkreis;8006688;09184
Lübeck-Travem. Skandinavienkai;Lübeck;Kreisfreie Stadt;8006704;01003
Hann Münden;Göttingen;Landkreis;8006707;03159
Dorsten;Recklinghausen;Kreis;8006709;05562
Hagen-Wehringhausen;Hagen;Kreisfreie Stadt;8006712;05914
Solingen Vogelpark;Solingen;Kreisfreie Stadt;8006714;05122
Vachendorf;Rosenheim;Landkreis;8006717;09187
Wuppertal-Oberbarmen;Wuppertal;Kreisfreie Stadt;8006719;05124
Straubing-Ost;Straubing;Kreisfreie Stadt;8006745;09263
Urmersbach;Cochem-Zell;Landkreis;8007357;07135
Aglasterhausen;Neckar-Odenwald-Kreis;Landkreis;8007445;08225
Miesenbach;Kaiserslautern;Landkreis;8007482;07335
Wilhermsdorf Mitte;Fürth;Landkreis;8007856;09573
Schaidt(Pfalz);Germersheim;Landkreis;8007857;07334
Schweighofen;Südliche Weinstraße;Landkreis;8007860;07337
Lebach-Jabach;Saarlouis;Landkreis;8007868;10044
Cranzahl;Erzgebirgskreis;Landkreis;8010074;14521
Görlitz;Görlitz;Landkreis;8010131;14626
Plaue(Thür);Ilm-Kreis;Landkreis;8010274;16070
Suhl;Suhl;Kreisfreie Stadt;8010345;16054
Erfurt-Gispersleben;Erfurt;Kreisfreie Stadt;8011503;16051
Frankfurt(Oder)-Rosengarten;Frankfurt (Oder);Kreisfreie Stadt;8011559;12053
Gera-Zwötzen;Gera;Kreisfreie Stadt;8011623;16052
Jena-ZwÃ¤tzen;Jena;Kreisfreie Stadt;8011958;16053
Kirchmöser;Brandenburg an der Havel;Kreisfreie Stadt;8012011;12051
Neumühle(Elster);Greiz;Landkreis;8012465;16076
Peitz Ost;Spree-Neiße;Landkreis;8012621;12071
Pretzier(Altm);Altmarkkreis Salzwedel;Landkreis;8012673;15081
Rodleben;Dessau-Roßlau;Kreisfreie Stadt;8012777;15001
Rohr(Thür);Schmalkalden-Meiningen;Landkreis;8012787;16066
Schwerin Mitte;Schwerin;Kreisfreie Stadt;8012940;13004
Schwarzkollm;Bautzen;Landkreis;8012942;14625
Seebach(Mühlhausen);Unstrut-Hainich-Kreis;Landkreis;8012961;16064
Sonneberg(Thür)Hbf;Sonneberg;Landkreis;8013008;16072
Tangerhütte;Stendal;Landkreis;8013083;15090
Treben-Lehma;Altenburger Land;Landkreis;8013138;16077
Uebigau;Elbe-Elster;Landkreis;8013160;12062
Utzedel;Mecklenburgische Seenplatte;Landkreis;8013177;13071
Ventschow;Nordwestmecklenburg;Landkreis;8013186;13074
Vetschau;Oberspreewald-Lausitz;Landkreis;8013188;12066
Wahlitz;Jerichower Land;Landkreis;8013205;15086
Walschleben;Sömmerda;Landkreis;8013221;16068
Walsleben;Ostprignitz-Ruppin;Landkreis;8013222;12068
Wandersleben;Gotha;Landkreis;8013226;16067
Wasserthaleben;Kyffhäuserkreis;Landkreis;8013244;16065
Weisen;Prignitz;Landkreis;8013258;12070
Weißenfels West;Burgenlandkreis;Landkreis;8013261;15084
Werdau Nord;Zwickau;Landkreis;8013280;14524
Wilmersdorf(Angerm);Uckermark;Landkreis;8013313;12073
Wingerode;Eichsfeld;Landkreis;8013315;16061
Woffleben;Nordhausen;Landkreis;8013333;16062
Wutha;Wartburgkreis;Landkreis;8013366;16063
Zachun;Ludwigslust-Parchim;Landkreis;8013370;13076
Zarrendorf;Vorpommern-Rügen;Landkreis;8013373;13073
Zerbst/Anhalt;Anhalt-Bitterfeld;Landkreis;8013389;15082
Zerrenthin;Vorpommern-Greifswald;Landkreis;8013393;13075
Zeutsch;Saalfeld-Rudolstadt;Landkreis;8013398;16073
Zöberitz;Saalekreis;Landkreis;8013414;15088
Zörnigall;Wittenberg;Landkreis;8013418;15091
Freital-Potschappel;Sächsische Schweiz-Osterzgebirge;Landkreis;8013445;14628
Böhlen(Leipzig);Leipzig;Landkreis;8013471;14729
Camburg(Saale);Saale-Holzland-Kreis;Landkreis;8013474;16074
Dresden-Plauen;Dresden;Kreisfreie Stadt;8013476;14612
Radebeul-Naundorf;Meißen;Landkreis;8013490;14627
Untergrainau;Garmisch-Partenkirchen;Landkreis;8017042;09180
Heidenheim Voithwerk;Heidenheim;Landkreis;8070005;08135
Offenbach(Main) Kaiserlei;Offenbach am Main;Kreisfreie Stadt;8070092;06413
Durmersheim Nord;Rastatt;Landkreis;8070170;08216
Marienheide;Oberbergischer Kreis;Kreis;8070483;05374
Zielitz Ort;Börde;Landkreis;8073410;15083
Neckarbischofsheim Nord;Rhein-Neckar-Kreis;Landkreis;8077434;08226
Nohfelden;St. Wendel;Landkreis;8079083;10046
Hannover-Ledeburg;Region Hannover;Landkreis;8079097;03241
Neidenfels;Bad Dürkheim;Landkreis;8079146;07332
Hinterweidenthal Ost;Südwestpfalz;Landkreis;8079147;07340
Dreieich-Weibelfeld;Offenbach;Landkreis;8079151;06438
Tessin West;Rostock;Landkreis;8079604;13072
Singen Industriegebiet;Konstanz;Landkreis;8079616;08335
Rostock Thierfelder Str.;Rostock;Kreisfreie Stadt;8079629;13003
Delitzsch ob Bf;Nordsachsen;Landkreis;8080280;14730
Halle Zscherbener Straße;Halle (Saale);Kreisfreie Stadt;8080620;15002
Magdeburg Hasselbachplatz;Magdeburg;Kreisfreie Stadt;8080660;15003
Saarmund;Potsdam-Mittelmark;Landkreis;8081220;12069
Schönebeck-Frohse;Salzlandkreis;Landkreis;8081270;15089
Seegefeld;Havelland;Landkreis;8081586;12063
Cottbus-Willmersdorf Nord;Cottbus;Kreisfreie Stadt;8081688;12052
Köln Messe/Deutz Gl. 9-10;Köln;Kreisfreie Stadt;8083368;05315
Münchweiler(Alsenz);Donnersbergkreis;Landkreis;8087062;07333
Oberursel-Stierstadt;Hochtaunuskreis;Landkreis;8087064;06434
Weingarten Berg;Ravensburg;Landkreis;8087067;08436
Maulbronn West;Enzkreis;Landkreis;8087080;08236
Neuenburg(Baden);Breisgau-Hochschwarzwald;Landkreis;8089119;08315
Erkner (S);Oder-Spree;Landkreis;8089181;12067
Potsdam Hbf (S);Potsdam;Kreisfreie Stadt;8089184;12054
Blankenfelde (S);Teltow-Fläming;Landkreis;8089186;12072
Strausberg (S);Märkisch-Oderland;Landkreis;8089187;12064
Flughafen BER - Terminal 1-2 (S-Bahn);Dahme-Spreewald;Landkreis;8089201;12061
Bernau (S);Barnim;Landkreis;8089205;12060
Hennigsdorf (S);Oberhavel;Landkreis;8089207;12065
Stuttgart Hbf (tief);Stuttgart;Stadtkreis;8098096;08111
Frankfurt Hbf (tief);Frankfurt am Main;Kreisfreie Stadt;8098105;06412
Kassel Hbf (tief);Kassel;Kreisfreie Stadt;8098193;06611
Leipzig Hbf (tief);Leipzig;Kreisfreie Stadt;8098205;14713
München Hbf (tief);München;Kreisfreie Stadt;8098263;09162
Stolberg(Rheinl)Hbf Gl.44;Städteregion Aachen;Kreis;8098349;05334
Nürnberg Frankenstadion Sonderbahnsteig;Nürnberg;Kreisfreie Stadt;8098493;09564
Hamburg-Altona(S);Hamburg;Kreisfreie Stadt;8098553;02000
